case_id,condition,direct_voxels,membership_rows,labels_identical,group_ids_identical,full_grid_direct_coordinates_identical,full_grid_membership_coordinates_identical,direct_points_lost,membership_points_lost
coronacases_002,complete,475,261,True,True,True,True,0,0
coronacases_002,complete_fixed_25,254,40,True,True,True,True,0,0
coronacases_002,complete_fixed_50,475,261,True,True,True,True,0,0
coronacases_002,complete_fixed_75,475,261,True,True,True,True,0,0
coronacases_002,component_fixed_25,254,40,True,True,True,True,0,0
coronacases_002,component_fixed_50,475,261,True,True,True,True,0,0
coronacases_002,component_fixed_75,475,261,True,True,True,True,0,0
coronacases_002,component_natural_25,253,39,True,True,True,True,0,0
coronacases_002,component_natural_50,346,132,True,True,True,True,0,0
coronacases_002,component_natural_75,415,201,True,True,True,True,0,0
coronacases_002,pixel_dropout_matched_25,253,39,True,True,True,True,0,0
coronacases_002,pixel_dropout_matched_50,346,132,True,True,True,True,0,0
coronacases_002,pixel_dropout_matched_75,415,201,True,True,True,True,0,0
coronacases_005,complete,34,20,True,True,True,True,0,0
coronacases_005,complete_fixed_25,17,3,True,True,True,True,0,0
coronacases_005,complete_fixed_50,21,7,True,True,True,True,0,0
coronacases_005,complete_fixed_75,33,19,True,True,True,True,0,0
coronacases_005,component_fixed_25,17,3,True,True,True,True,0,0
coronacases_005,component_fixed_50,21,7,True,True,True,True,0,0
coronacases_005,component_fixed_75,33,19,True,True,True,True,0,0
coronacases_005,component_natural_25,17,3,True,True,True,True,0,0
coronacases_005,component_natural_50,23,9,True,True,True,True,0,0
coronacases_005,component_natural_75,34,20,True,True,True,True,0,0
coronacases_005,pixel_dropout_matched_25,17,3,True,True,True,True,0,0
coronacases_005,pixel_dropout_matched_50,23,9,True,True,True,True,0,0
coronacases_005,pixel_dropout_matched_75,34,20,True,True,True,True,0,0
radiopaedia_29_86490_1,complete,7,4,True,True,True,True,0,0
radiopaedia_29_86490_1,complete_fixed_25,5,2,True,True,True,True,0,0
radiopaedia_29_86490_1,complete_fixed_50,5,2,True,True,True,True,0,0
radiopaedia_29_86490_1,complete_fixed_75,7,4,True,True,True,True,0,0
radiopaedia_29_86490_1,component_fixed_25,5,2,True,True,True,True,0,0
radiopaedia_29_86490_1,component_fixed_50,5,2,True,True,True,True,0,0
radiopaedia_29_86490_1,component_fixed_75,7,4,True,True,True,True,0,0
radiopaedia_29_86490_1,component_natural_25,5,2,True,True,True,True,0,0
radiopaedia_29_86490_1,component_natural_50,5,2,True,True,True,True,0,0
radiopaedia_29_86490_1,component_natural_75,7,4,True,True,True,True,0,0
radiopaedia_29_86490_1,pixel_dropout_matched_25,5,2,True,True,True,True,0,0
radiopaedia_29_86490_1,pixel_dropout_matched_50,5,2,True,True,True,True,0,0
radiopaedia_29_86490_1,pixel_dropout_matched_75,7,4,True,True,True,True,0,0
radiopaedia_29_86491_1,complete,58,28,True,True,True,True,0,0
radiopaedia_29_86491_1,complete_fixed_25,44,14,True,True,True,True,0,0
radiopaedia_29_86491_1,complete_fixed_50,46,16,True,True,True,True,0,0
radiopaedia_29_86491_1,complete_fixed_75,58,28,True,True,True,True,0,0
radiopaedia_29_86491_1,component_fixed_25,44,14,True,True,True,True,0,0
radiopaedia_29_86491_1,component_fixed_50,46,16,True,True,True,True,0,0
radiopaedia_29_86491_1,component_fixed_75,58,28,True,True,True,True,0,0
radiopaedia_29_86491_1,component_natural_25,44,14,True,True,True,True,0,0
radiopaedia_29_86491_1,component_natural_50,46,16,True,True,True,True,0,0
radiopaedia_29_86491_1,component_natural_75,58,28,True,True,True,True,0,0
radiopaedia_29_86491_1,pixel_dropout_matched_25,44,14,True,True,True,True,0,0
radiopaedia_29_86491_1,pixel_dropout_matched_50,46,16,True,True,True,True,0,0
radiopaedia_29_86491_1,pixel_dropout_matched_75,58,28,True,True,True,True,0,0
coronacases_010,complete,101,59,True,True,True,True,0,0
coronacases_010,complete_fixed_25,92,50,True,True,True,True,0,0
coronacases_010,complete_fixed_50,95,53,True,True,True,True,0,0
coronacases_010,complete_fixed_75,101,59,True,True,True,True,0,0
coronacases_010,component_fixed_25,92,50,True,True,True,True,0,0
coronacases_010,component_fixed_50,95,53,True,True,True,True,0,0
coronacases_010,component_fixed_75,101,59,True,True,True,True,0,0
coronacases_010,component_natural_25,62,20,True,True,True,True,0,0
coronacases_010,component_natural_50,69,27,True,True,True,True,0,0
coronacases_010,component_natural_75,96,54,True,True,True,True,0,0
coronacases_010,pixel_dropout_matched_25,62,20,True,True,True,True,0,0
coronacases_010,pixel_dropout_matched_50,69,27,True,True,True,True,0,0
coronacases_010,pixel_dropout_matched_75,96,54,True,True,True,True,0,0
radiopaedia_10_85902_1,complete,28,13,True,True,True,True,0,0
radiopaedia_10_85902_1,complete_fixed_25,27,12,True,True,True,True,0,0
radiopaedia_10_85902_1,complete_fixed_50,28,13,True,True,True,True,0,0
radiopaedia_10_85902_1,complete_fixed_75,28,13,True,True,True,True,0,0
radiopaedia_10_85902_1,component_fixed_25,27,12,True,True,True,True,0,0
radiopaedia_10_85902_1,component_fixed_50,28,13,True,True,True,True,0,0
radiopaedia_10_85902_1,component_fixed_75,28,13,True,True,True,True,0,0
radiopaedia_10_85902_1,component_natural_25,27,12,True,True,True,True,0,0
radiopaedia_10_85902_1,component_natural_50,27,12,True,True,True,True,0,0
radiopaedia_10_85902_1,component_natural_75,28,13,True,True,True,True,0,0
radiopaedia_10_85902_1,pixel_dropout_matched_25,27,12,True,True,True,True,0,0
radiopaedia_10_85902_1,pixel_dropout_matched_50,27,12,True,True,True,True,0,0
radiopaedia_10_85902_1,pixel_dropout_matched_75,28,13,True,True,True,True,0,0
radiopaedia_10_85902_3,complete,46,22,True,True,True,True,0,0
radiopaedia_10_85902_3,complete_fixed_25,39,15,True,True,True,True,0,0
radiopaedia_10_85902_3,complete_fixed_50,43,19,True,True,True,True,0,0
